# VB6 P-Code opcodes — encoding + verified runtime semantics
# Merged from opcodes.csv (encoding) and opcode_semantics.csv (semantics)
#
# Encoding columns:
#   table          - dispatch table (0=primary, 1-5=lead0-lead4)
#   opcode         - hex opcode byte within the table
#   size           - instruction size in bytes (excl. lead byte; -1=variable; 0=invalid)
#   mnemonic       - opcode name
#   operand_format - format specifiers (%a=frame, %s=pool, %l=branch, %c=import, etc.)
#
# Semantics columns (verified from MSVBVM60.DLL 6.00.9848 handler disassembly):
#   pops      - evaluation stack slots consumed (4 bytes each; -1=variable)
#   pushes    - evaluation stack slots produced
#   fpu_pops  - x87 FPU stack values consumed
#   fpu_push  - x87 FPU stack values produced
#   mem_read  - bytes read from memory (0=none)
#   mem_write - bytes written to memory (0=none)
#   category  - semantic category (arith, compare, convert, load_frame, etc.)
#   handler   - MSVBVM60.DLL handler address (reference only)
#   notes     - human-readable description
#
table,opcode,size,mnemonic,operand_format,pops,pushes,fpu_pops,fpu_push,mem_read,mem_write,category,handler,notes
0,0x2A,1,ConcatStr,,2,1,0,0,0,0,arith,0x66108F1D,Pop 2 BSTR ptrs; concatenate via __vbaStrCat; push result BSTR ptr
0,0x2B,3,PopTmpLdAd2,%a,0,1,0,0,0,0,stack,0x66108F22,Push addr of temp 2-byte slot in frame housekeeping
0,0x2C,5,LateIdSt,%4,-1,0,0,0,0,0,call,0x6610E300,Late-bound property set via IDispatch::Invoke; pops value+args; DISPID from operand
0,0x2D,3,AryUnlock,%a,1,0,0,0,0,0,stack,0x6610E2E0,Pop SafeArray ptr; SafeArrayUnlock; no push
0,0x2E,3,AryLock,%a,1,0,0,0,0,0,stack,0x6610E2F0,Pop SafeArray ptr; SafeArrayLock; no push
0,0x2F,3,FFree1Str,%a,0,0,0,0,0,0,stack,0x6610A0C8,Free BSTR at [EBP+sext(op)]; SysFreeString + set to NULL
0,0x30,3,PopTmpLdAd8,%a,0,1,0,0,0,0,stack,0x66108F2A,Push addr of temp 8-byte slot in frame housekeeping
0,0x31,3,FStStr,%a,1,0,0,0,0,4,store_frame,0x6610A05D,Pop BSTR ptr; swap with frame slot; SysFreeString old; ownership transfer
0,0x32,-1,FFreeStr,,-1,0,0,0,0,0,stack,0x6610A0F8,Free N BSTRs; var-length: u16 count + N×i16 frame offsets
0,0x33,3,LdFixedStr,%2,1,1,0,0,0,0,stack,0x6610A088,Pop dest addr; __vbaStrFixedLenAssign; push result BSTR ptr
0,0x34,1,CStr2Ansi,,1,1,0,0,0,0,convert,0x6610A0B0,Pop BSTR; convert to ANSI string; push result ptr
0,0x35,3,FFree1Var,%a,0,0,0,0,0,0,stack,0x6610A0D8,Clear Variant at [EBP+sext(op)]; __vbaVarClear; no stack change
0,0x36,-1,FFreeVar,,-1,0,0,0,0,0,stack,0x6610A108,Clear N Variants; var-length: u16 count + N×i16 frame offsets
0,0x37,1,PopFPR4,,0,1,1,0,0,0,stack,0x66108FA4,Pop x87 ST0 → store as f32 on eval stack; ESP-=4; fpu_pop=1 push=1
0,0x38,3,CopyBytes,%2,-1,0,0,0,0,0,stack,0x6610A148,Variable-length memcpy; reads u16 size from operand stream
0,0x39,1,PopFPR8,,0,2,1,0,0,0,stack,0x66108FB8,Pop x87 ST0 → store as f64 on eval stack (2 slots); ESP-=8; fpu_pop=1 push=2
0,0x3A,5,LitVarStr,%a %s,0,4,0,0,0,0,load_lit,0x6610A1CC,Read %s const pool ref; push as 16B Variant(vbString); 4 eval slots
0,0x3B,1,Ary1StStrCopy,,3,0,0,0,0,4,store_ind,0x6610D1A0,Pop BSTR + index + array; SysCopy BSTR to array[index]
0,0x3C,1,GetLastError,,0,1,0,0,0,0,stack,0x6610A118,Push GetLastError() result as i32
0,0x3D,3,CastAd,%c,1,1,0,0,0,0,convert,0x6610A128,Pop ptr; cast/validate COM interface; push validated ptr
0,0x3E,3,FLdZeroAd,%a,0,1,0,0,0,0,load_lit,0x66108F97,Push i32 zero (0x00000000) onto eval stack
0,0x3F,3,CVarCy,%a,2,4,0,0,0,0,convert,0x6610A1F0,Pop 2 Cy slots (8B); push as 16B Variant(vbCurrency); 4 slots
0,0x40,1,Ary1LdRf,,2,1,0,0,4,0,load_ind,0x6610CF5C,Pop index+array; push address of array[index] (LEA not LOAD)
0,0x41,1,Ary1LdPr,,2,1,0,0,4,0,load_ind,0x6610CF78,Pop index+array; push COM obj ref from array[index]; AddRef
0,0x42,1,CR4Var,,4,0,0,1,0,0,convert,0x6610A940,Pop 16B Variant (4 slots); convert to R4; push FPU ST0
0,0x43,3,FStStrCopy,%a,1,0,0,0,0,4,store_frame,0x6610A0A0,Pop BSTR; __vbaStrCopy to frame slot (copy semantics; orig freed)
0,0x44,3,CVarI2,%a,1,4,0,0,0,0,convert,0x6610A1A0,Pop i32 (i16 val); push as 16B Variant(vbInteger); 4 slots
0,0x45,1,Error,,1,0,0,0,0,0,stack,0x6610A140,Pop error number; raise VB runtime error via Err.Raise
0,0x46,3,CVarStr,%a,1,4,0,0,0,0,convert,0x6610A1CC,Pop BSTR ptr; push as 16B Variant(vbString); 4 slots
0,0x47,3,StFixedStr,%l %a,1,0,0,0,0,4,store_frame,0x6610A080,Pop BSTR; write to fixed-length string slot via __vbaStrFixedLenAssign
0,0x48,3,ILdPr,%a,0,1,0,0,4,0,load_ind,0x661097B2,Load COM object ptr via double-deref; AddRef; push 4B
0,0x49,1,PopAdLd4,,1,1,0,0,4,0,stack,0x66108F9B,Pop address; load i32 from that address; push value (deref)
0,0x4A,1,FnLenStr,,1,1,0,0,0,0,stack,0x6610A110,Pop BSTR ptr; push SysStringLen result as i32
0,0x4B,3,OnErrorGoto,%l,0,0,0,0,0,0,branch,0x66109F58,Set error handler target in frame; no stack effect
0,0x4C,1,FnLBound,,1,1,0,0,0,0,stack,0x6610A130,Pop array SafeArray ptr; push LBound as i32
0,0x4D,5,CVarRef,%a %2,0,4,0,0,0,0,convert,0x6610A218,Push 16B Variant ByRef pointing to [EBP+sext(op)]; 4 slots
0,0x4E,3,FStVarCopyObj,%a,4,0,0,0,0,16,store_frame,0x6610A248,Pop 4 Variant slots; copy to frame slot with COM semantics
0,0x4F,3,MidStr,%2,3,1,0,0,0,0,stack,0x6610A278,Pop str+start+len; Mid$(); push result BSTR ptr
0,0x50,1,CI4Str,,1,1,0,0,0,0,convert,0x6610A988,Pop BSTR; convert to i32 via __vbaI4Str; push
0,0x51,3,FLdZeroAd,%a,0,1,0,0,0,0,load_lit,0x66108F97,Push i32 zero (duplicate opcode; same handler as 0x3E)
0,0x52,1,Ary1StVar,,6,0,0,0,0,16,store_ind,0x6610D168,Pop 4 Var slots + index + array; store 16B Variant to array[index]
0,0x53,1,CBoolCy,,2,1,0,0,0,0,convert,0x6610A96A,Pop 2 Cy slots; convert to VB Bool (i16 -1/0); push as i32
0,0x54,5,FMemStStrCopy,%a %2,1,0,0,0,0,4,store_mem,0x6610A0A0,Pop BSTR; __vbaStrCopy to [this+offset] (copy semantics)
0,0x55,1,CI2Var,,4,1,0,0,0,0,convert,0x6610A95A,Pop 16B Variant (4 slots); convert to i16; push as i32
0,0x56,3,NewIfNullAd,%c,1,1,0,0,0,0,stack,0x6610A160,Pop addr ptr; if null allocate; push (non-null) ptr
0,0x57,5,LateMemLdVar,%a %2,-1,-1,0,0,0,0,call,0x6610E320,Late-bound member load via IDispatch; pops obj+args; pushes result (type varies)
0,0x58,3,MemLdPr,%2,1,1,0,0,4,0,load_mem,0x661098F2,Pop obj ptr; load COM obj from member; AddRef; push 4B
0,0x59,3,PopTmpLdAdStr,%a,0,1,0,0,0,0,stack,0x66108F2E,Push addr of temp BSTR slot in frame housekeeping
0,0x5A,1,Erase,,-1,0,0,0,0,0,stack,0x6610A2E0,Erase array; reads frame offset; calls __vbaErase
0,0x5B,3,FStAdFuncNoPop,%a,0,0,0,0,0,4,store_frame,0x6610A0D0,Copy TOS to return value slot without popping; duplicate of 0x19 NoPop variant
0,0x5C,3,BranchFVar,%l,4,0,0,0,0,0,branch,0x6610A208,Pop 16B Variant (4 slots); test for False; branch if false
0,0x5D,1,HardType,,1,1,0,0,0,0,convert,0x6610A2B0,Pop ptr; verify/cast COM type; push validated ptr
0,0x5E,5,ImpAdCallI4,%x,-1,1,0,0,0,0,call,0x6610A3C4,Import API call (alias of 0x0B); result i32 pushed on eval
0,0x5F,5,FMemLdPr,%a %2,0,1,0,0,4,0,load_mem,0x661099D0,Load COM obj from [this+offset]; AddRef; push 4B
0,0x60,1,CStrVarTmp,,4,1,0,0,0,0,convert,0x6610A2C8,Pop 16B Variant (4 slots); convert to BSTR; push ptr
0,0x61,7,LateIdLdVar,%a %4,-1,-1,0,0,0,0,call,0x6610E340,Late-bound identifier load via IDispatch; pops args; pushes result
0,0x62,3,IStDarg,%a,1,0,0,0,0,4,store_ind,0x6610A298,Pop value; store to dispatch arg (DARG) slot
0,0x63,3,LitVar_TRUE,%a,0,1,0,0,0,0,load_lit,0x6610A098,Push VB True (-1) as i32 onto eval stack
0,0x64,5,NextI2,%a %l,0,0,0,0,2,2,branch,0x6610E380,For/Next i16: increment [EBP+op] by step; branch if not done
0,0x65,5,NextStepI2,%a %l,1,0,0,0,2,2,branch,0x6610E3A0,For/Next i16 with Step: pop step; increment; branch if not done
0,0x66,5,NextI4,%a %l,0,0,0,0,4,4,branch,0x6610E3C0,For/Next i32: increment [EBP+op] by 1; compare with limit; branch
0,0x67,5,NextStepI4,%a %l,1,0,0,0,4,4,branch,0x6610E3E0,For/Next i32 with Step: pop step; increment; compare; branch
0,0x68,5,NextStepR4,%a %l,0,0,1,0,4,4,branch,0x6610E400,For/Next R4 with FPU Step: increment via FPU; compare; branch
0,0x69,5,NextStepR8,%a %l,0,0,1,0,8,8,branch,0x6610E410,For/Next R8 with FPU Step: increment via FPU; compare; branch
0,0x6A,5,NextStepCy,%a %l,2,0,0,0,8,8,branch,0x6610E420,For/Next Cy: pop 2 step slots; increment; compare; branch
0,0x6B,3,FLdI2,%a,0,1,0,0,2,0,load_frame,0x66109372,Read i16 from [EBP+sext(operand)]; zero-extend to i32; push 4B
0,0x6C,3,ILdRf,%a,0,1,0,0,4,0,load_ind,0x66108EB3,Push address from double-deref: LEA of *[EBP+sext(op)] (ref to indirect var)
0,0x6D,3,FLdR8,%a,0,2,0,0,8,0,load_frame,0x6610DEF5,Read 8B (R8/Double) from [EBP+sext(operand)]; push as 2x4B stack slots
0,0x6E,3,FLdFPR4,%a,0,0,0,1,4,0,load_frame,0x661093BA,Load f32 from [EBP+sext(op)] onto x87 FPU stack (fld dword); NO eval stack change
0,0x6F,3,FLdFPR8,%a,0,0,0,1,8,0,load_frame,0x661093CD,Load f64 from [EBP+sext(op)] onto x87 FPU stack (fld qword); NO eval stack change
0,0x70,3,FStI2,%a,1,0,0,0,0,2,store_frame,0x6610940B,Pop i32 (use low 16); store i16 to [EBP+sext(operand)]
0,0x71,3,FStR4,%a,1,0,0,0,0,4,store_frame,0x6610DF1A,Pop 1 slot (4B); store R4 to [EBP+sext(operand)]
0,0x72,3,FStR8,%a,2,0,0,0,0,8,store_frame,0x6610DF31,Pop 2 slots (8B); store R8 to [EBP+sext(operand)]
0,0x73,3,FStFPR4,%a,0,0,1,0,0,4,store_frame,0x6610940D,Pop x87 ST0; store f32 to [EBP+sext(op)] (fstp dword); NO eval stack change
0,0x74,3,FStFPR8,%a,0,0,1,0,0,8,store_frame,0x66109420,Pop x87 ST0; store f64 to [EBP+sext(op)] (fstp qword); NO eval stack change
0,0x75,3,ImpAdLdI2,%c,0,1,0,0,2,0,load_ind,0x661096D4,Load i16 via *(TOS_addr + sext(op)); pop addr push val; net: modify TOS
0,0x76,3,ImpAdLdI4,%c,0,1,0,0,4,0,load_ind,0x661096F4,Load i32 via *(TOS_addr + sext(op)); pop addr push val; net: modify TOS
0,0x77,3,ImpAdLdCy,%c,0,2,0,0,8,0,load_ind,0x66109714,Load 8B Cy via *(TOS_addr + sext(op)); pop addr push 2 slots
0,0x78,3,ImpAdLdFPR4,%c,0,0,0,1,4,0,load_ind,0x6610973C,Load f32 via *(TOS_addr + sext(op)) → FPU; pop addr from eval
0,0x79,3,ImpAdLdFPR8,%c,0,0,0,1,8,0,load_ind,0x66109754,Load f64 via *(TOS_addr + sext(op)) → FPU; pop addr from eval
0,0x7A,3,ImpAdStI2,%c,1,0,0,0,0,2,store_ind,0x66109714,Pop val; store i16 via *(addr + sext(op)) where addr popped earlier
0,0x7B,3,ImpAdStR4,%c,1,0,0,0,0,4,store_ind,0x66109730,Pop val; store R4 via *(addr + sext(op))
0,0x7C,3,ImpAdStCy,%c,2,0,0,0,0,8,store_ind,0x6610974C,Pop 2 slots (8B Cy); store via *(addr + sext(op))
0,0x7D,3,ImpAdStFPR4,%c,0,0,1,0,0,4,store_ind,0x6610976C,Pop FPU ST0; store f32 via *(addr + sext(op))
0,0x7E,3,ImpAdStFPR8,%c,0,0,1,0,0,8,store_ind,0x66109784,Pop FPU ST0; store f64 via *(addr + sext(op))
0,0x7F,3,ILdI2,%a,0,1,0,0,2,0,load_ind,0x66109774,Load i16 via double-deref: ptr=[EBP+sext(op)]; val=*(i16*)ptr; zext push 4B
0,0x80,3,ILdI4,%a,0,1,0,0,4,0,load_ind,0x66109798,Load i32 via double-deref: ptr=[EBP+sext(op)]; val=*ptr; push 4B
0,0x81,3,ILdR8,%a,0,2,0,0,8,0,load_ind,0x661097BC,Load R8 via double-deref: ptr=[EBP+sext(op)]; push 8B as 2 slots
0,0x82,3,ILdFPR4,%a,0,0,0,1,4,0,load_ind,0x661097E6,Load f32 via double-deref: ptr=[EBP+sext(op)]; fld dword *ptr → FPU
0,0x83,3,ILdFPR8,%a,0,0,0,1,8,0,load_ind,0x661097FA,Load f64 via double-deref: ptr=[EBP+sext(op)]; fld qword *ptr → FPU
0,0x84,3,IStI2,%a,1,0,0,0,0,2,store_ind,0x661097F6,Pop i32(use low 16); store i16 via double-deref: ptr=[EBP+sext(op)]
0,0x85,3,IStI4,%a,1,0,0,0,0,4,store_ind,0x66109814,Pop i32; store via double-deref: ptr=[EBP+sext(op)]; *ptr=val
0,0x86,3,IStR8,%a,2,0,0,0,0,8,store_ind,0x66109830,Pop 2 slots (8B); store R8 via double-deref
0,0x87,3,IStFPR4,%a,0,0,1,0,0,4,store_ind,0x66109856,Pop FPU ST0; store f32 via double-deref (fstp dword)
0,0x88,3,IStFPR8,%a,0,0,1,0,0,8,store_ind,0x6610986C,Pop FPU ST0; store f64 via double-deref (fstp qword)
0,0x89,3,MemLdI2,%2,1,1,0,0,2,0,load_mem,0x66109884,Pop obj ptr; read i16 at obj+offset; push i32 (zext)
0,0x8A,3,MemLdStr,%2,1,1,0,0,4,0,load_mem,0x661098B2,Pop obj ptr; read BSTR ptr at obj+offset; push 4B
0,0x8B,3,MemLdR8,%2,1,2,0,0,8,0,load_mem,0x661098DA,Pop obj ptr; read R8 at obj+offset; push 2 slots
0,0x8C,3,MemLdFPR4,%2,1,0,0,1,4,0,load_mem,0x6610990A,Pop obj ptr; load f32 from obj+offset → FPU ST0
0,0x8D,3,MemLdFPR8,%2,1,0,0,1,8,0,load_mem,0x66109924,Pop obj ptr; load f64 from obj+offset → FPU ST0
0,0x8E,3,MemStI2,%2,2,0,0,0,0,2,store_mem,0x6610990E,Pop val + obj ptr; store i16 at obj+offset
0,0x8F,3,MemStI4,%2,2,0,0,0,0,4,store_mem,0x66109928,Pop val + obj ptr; store i32 at obj+offset
0,0x90,3,MemStR8,%2,3,0,0,0,0,8,store_mem,0x66109944,Pop 2 val + 1 obj ptr; store R8 at obj+offset
0,0x91,3,MemStFPR4,%2,1,0,1,0,0,4,store_mem,0x6610996C,Pop obj ptr; pop FPU ST0; store f32 at obj+offset
0,0x92,3,MemStFPR8,%2,1,0,1,0,0,8,store_mem,0x66109988,Pop obj ptr; pop FPU ST0; store f64 at obj+offset
0,0x93,5,FMemLdI2,%a %2,0,1,0,0,2,0,load_mem,0x66109972,Load i16 from [this+offset]; this from frame; push i32 (zext)
0,0x94,5,FMemLdR4,%a %2,0,1,0,0,4,0,load_mem,0x6610999C,Load R4 from [this+offset]; push 4B
0,0x95,5,FMemLdCy,%a %2,0,2,0,0,8,0,load_mem,0x661099C0,Load 8B Cy from [this+offset]; push 2 slots
0,0x96,5,FMemLdFPR4,%a %2,0,0,0,1,4,0,load_mem,0x661099E8,Load f32 from [this+offset] → FPU ST0 (fast member)
0,0x97,5,FMemLdFPR8,%a %2,0,0,0,1,8,0,load_mem,0x661099FC,Load f64 from [this+offset] → FPU ST0 (fast member)
0,0x98,5,FMemStI2,%a %2,1,0,0,0,0,2,store_mem,0x661099F0,Pop i32 (use low 16); store i16 to [this+offset]
0,0x99,5,FMemStI4,%a %2,1,0,0,0,0,4,store_mem,0x66109A10,Pop i32; store to [this+offset]
0,0x9A,5,FMemStR8,%a %2,2,0,0,0,0,8,store_mem,0x66109A30,Pop 2 val slots; store R8 to [this+offset]
0,0x9B,5,FMemStFPR4,%a %2,0,0,1,0,0,4,store_mem,0x66109A4A,Pop FPU ST0; store f32 to [this+offset]
0,0x9C,5,FMemStFPR8,%a %2,0,0,1,0,0,8,store_mem,0x66109A60,Pop FPU ST0; store f64 to [this+offset]
0,0x9D,1,Ary1LdI2,,2,1,0,0,2,0,load_ind,0x6610CF8C,Pop index+array_desc; read i16 from array[index]; zext push
0,0x9E,1,Ary1LdI4,,2,1,0,0,4,0,load_ind,0x6610CFB8,Pop index+array_desc; read i32 from array[index]; push value
0,0x9F,1,Ary1LdCy,,2,2,0,0,8,0,load_ind,0x6610CFE8,Pop index+array_desc; read 8B Cy from array[index]; push 2 slots
0,0xA0,1,Ary1LdFPR4,,2,0,0,1,4,0,load_ind,0x6610D018,Pop index+array_desc; read f32 from array[index]; push FPU
0,0xA1,1,Ary1LdFPR8,,2,0,0,1,8,0,load_ind,0x6610D038,Pop index+array_desc; read f64 from array[index]; push FPU
0,0xA2,1,Ary1StI2,,3,0,0,0,0,2,store_ind,0x6610D058,Pop val+index+array_desc; store i16 to array[index]
0,0xA3,1,Ary1StI4,,3,0,0,0,0,4,store_ind,0x6610D088,Pop val+index+array_desc; store i32 to array[index]
0,0xA4,1,Ary1StCy,,4,0,0,0,0,8,store_ind,0x6610D0B8,Pop 2_val+index+array_desc; store 8B Cy to array[index]
0,0xA5,1,Ary1StFPR4,,2,0,1,0,0,4,store_ind,0x6610D0E8,Pop index+array_desc; pop FPU ST0; store f32 to array[index]
0,0xA6,1,Ary1StFPR8,,2,0,1,0,0,8,store_ind,0x6610D108,Pop index+array_desc; pop FPU ST0; store f64 to array[index]
0,0xA7,3,AryLdPr,%2,2,1,0,0,4,0,load_ind,0x6610D128,Pop index+array (multi-dim); push COM obj ref; AddRef
0,0xA8,3,AryLdRf,%2,2,1,0,0,4,0,load_ind,0x6610D148,Pop index+array (multi-dim); push address (LEA)
0,0xA9,1,AddI2,,2,1,0,0,0,0,arith,0x66109B08,Pop TOS i16; add to new TOS i16 in-place; overflow check; result sign-extended i32
0,0xAA,1,AddI4,,2,1,0,0,0,0,arith,0x66109B3F,Pop TOS; add to new TOS in-place; overflow check (err 6)
0,0xAB,1,AddR8,,0,0,1,0,0,0,arith,0x66109B55,FPU: faddp st1 st0; pops 2 fpu values pushes 1 result; NO eval stack change
0,0xAC,1,AddCy,,4,2,0,0,0,0,arith,0x6610E424,Pop 2+2 slots (two 8B Cy); __vbaCyAdd; push 2 slots (8B result)
0,0xAD,1,SubI2,,2,1,0,0,0,0,arith,0x66109B23,Pop TOS i16; sub from new TOS i16; overflow check; sign-extend result
0,0xAE,1,SubI4,,2,1,0,0,0,0,arith,0x66109B7A,Pop TOS; subtract from new TOS in-place; overflow check (err 6)
0,0xAF,1,SubR4,,0,0,1,0,0,0,arith,0x66109B98,FPU: fsubp st1 st0; pops 2 fpu pushes 1; R4 subtraction
0,0xB0,1,SubCy,,4,2,0,0,0,0,arith,0x6610E440,Pop 2+2 slots (two 8B Cy); __vbaCySub; push 2 slots
0,0xB1,1,MulI2,,2,1,0,0,0,0,arith,0x66109BA6,Pop TOS i16; mul with new TOS i16; overflow if result > 16-bit
0,0xB2,1,MulI4,,2,1,0,0,0,0,arith,0x66109BC5,Pop TOS; multiply with new TOS; overflow check via imul
0,0xB3,1,MulR8,,0,0,1,0,0,0,arith,0x66109B93,FPU: fmulp st1 st0; pops 2 fpu pushes 1; float multiplication
0,0xB4,1,MulCy,,4,2,0,0,0,0,arith,0x6610E45C,Pop 2+2 slots (two 8B Cy); __vbaCyMul; push 2 slots
0,0xB5,1,MulCyI2,,3,2,0,0,0,0,arith,0x6610E478,Pop 1 i16 + 2 Cy slots; multiply; push 2 Cy slots result
0,0xB6,1,DivR8,,0,0,1,0,0,0,arith,0x66109B93,FPU: fdivp st1 st0; pops 2 fpu pushes 1; float division
0,0xB7,1,UMiI2,,1,1,0,0,0,0,unary,0x66109BCC,Negate TOS i16 in-place; overflow check on -32768
0,0xB8,1,UMiI4,,1,1,0,0,0,0,unary,0x66109BD9,Negate TOS in-place; overflow check on INT_MIN
0,0xB9,1,UMiR8,,0,0,0,0,0,0,unary,0x66109BDA,FPU: fchs ST0; negate TOS on FPU in-place; no stack change
